"circo","uid","nom","sexe","naissance","bloc","liste","parti","bureau","comm","votes","pic","bio","lon","lat","geo"
"Ariana","4f4fbcf3bd8cb5615700007a","Issam Chebbi","H",1957,"Aucun bloc","Parti démocratique progressiste","Al Jomhouri",NA,"Commission du préambule, des principes fondamentaux et de révision de la Constitution",62.64,"http://www.marsad.tn/uploads/images/PDP_issam_Chebbi.jpg","Issam Chebbi, né le 23 décembre 1957 à Tunis et originaire de Tozeur, est un homme politique tunisien, membre de l'Assemblée Nationale Constituante élue le 23 octobre 2011. Il représente le Parti démocrate progressiste (PDP) dans la circonscription de l'Ariana. Cet huissier et notaire de profession est aussi membre du bureau exécutif (2004-2012) et secrétaire général adjoint du PDP (2012). Il est actuellement membre du bureau politique du Parti Républicain. Défenseur des droits de l'homme en Tunisie. Il a signé l'appel pour la défense de la libre expression en Tunisie en mai 2003. Il était aussi candidat tête de liste à l'Ariana aux élections législatives d'octobre 2004. Il est le frère cadet d'Ahmed Néjib Chebbi.",10.195556,36.8625,"Tunisie"
"Béja","4f4fbcf3bd8cb5615700007b","Ali Bechrifa","H",1960,"Bloc Démocrates","Forum démocratique pour le travail et les libertés","Al Massar",NA,"Commission de tri des candidatures pour l'Instance Supérieure Indépendante pour les Élections;Commission des affaires éducatives;Commission des pouvoirs législatif, exécutif et des relations entre eux",70.38,"http://www.marsad.tn/uploads/images/Ali_Belchrifa.jpg","Né le 04 Mars 1960 à Beja où il a effectué ses études primaires et secondaires, il a poursuivi ses études supérieures à Tunis en intégrant la Faculté des Sciences où il a obtenu sa maitrise en Chimie et ensuite son Diplôme d'Etudes Approfondies (DEA) dans la même spécialité. Ali Bechrifa a continué son évolution dans le domaine de la science en obtenant un doctorat puis un doctorat d'Etat en Chimie. Il a travaillé en tant que professeur d'enseignement à la Faculté Des Sciences de Tunis avant son élection à l'Assemblée Nationale Constituante et il avait des activités syndicales.",9.183333,36.733333,"Tunisie"
"Béja","4f4fbcf3bd8cb561570000a7","Mohamed Saidi","H",1945,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission des martyrs et blessés de la révolution et de l'amnistie générale;Commission des affaires sociales;Commission des collectivités publiques, régionales et locales",96.91,"http://www.marsad.tn/uploads/images/Mohamed_Saidi.jpg","Mohamed Saidi est né le 23 Septembre 1945 à Beja. Il a effectué ses étudaires primaire à l'école franco-arabe de Beja et ensuite ses études secondaires au lycée de Beja où il a obtenu son baccalauréat en Lettres en 1964. Il a travaillé comme professeur d'enseignement général au bureau de réhabilitation et d'emploi de Radès entre 1967 et 1971. Il a aussi travaillé comme rédacteur du bureau de réhabilitation et d'emploi. En 1981, il a rejoint l'Union Générale Tunisienne du Travail et est devenu le Secrétaire Général de la section de Beja en 1985 mais a été arrêté lors de la grève de Août et emprisonné pendant 9 mois. Il a été libéré lors de l'amnistie lagislative des syndicalistes. Mohamed Saidi était actif au sein du mouvement de la tendance islamique à côté de son engagement syndical.",9.183333,36.733333,"Tunisie"
"Béja","4f4fbcf3bd8cb56157000044","Rabiî Abdi","H",1976,"Fidélité à La Révolution","Congrès pour la république","Mouvement Wafa",NA,"Commission des instances constitutionnelles;Commission des secteurs des services;Commission des consensus;Comité mixte de coordination et de rédaction",41.83,"http://www.marsad.tn/uploads/images/Rabia_Abdi.jpg","Né le 20 Octobre 1976 à Béja où il y entame sa scolarité dans les écoles “Hay Essokour” et “Errached” avant de poursuivre ses études secondaires au lycée “Ibn Haythem”. Il intégre par la suite la faculté des sciences économiques et de gestion à Tunis où il y décroche une maitrise en marketing. Il revient par la suite à Béja pour mener un DESS en informatique et multimédia à l’institut supérieur des langues appliquées et de l’informatique. Son parcours politique commence après le 14 Janvier 2011, en intégrant le CPR car il adhérait aux idées de Moncef Marzouki. Pour la future constitution, il souhaite inscrire le droit au peuple de combattre tout système dictatorial. Marié, il maitrise la langue arabe et française.",9.183333,36.733333,"Tunisie"
"Béja","4f4fbcf3bd8cb561570000c8","Nabila Askri Snoussi","F",1967,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission des affaires éducatives",98.56,"http://www.marsad.tn/uploads/images/Nabila_Askri_Snoussi.jpg","Nabila Askri est née le 07 Avril 1967 à Tunis. Elle a effectué ses études primaires ainsi que ses études secondaires à Teboursok où elle a obtenu son baccalauréat en sciences et mathématiques en 1986. Elle a ensuite intégré la Faculté des Sciences de Tunis où elle a obtenu sa maitrise en 1991. Nabila Askri n'avait pas d'activités politiques avant la révolution.",9.183333,36.733333,"Tunisie"
"Béja","4f4fbcf3bd8cb5615700005f","Chokri Kastalli","F",1962,"Alliance Démocratique","Parti démocratique progressiste","Alliance Démocratique",NA,"Commission des affaires éducatives;Commission de tri des candidatures pour l'Instance de la vérité et de la dignité relative à la justice transitionnelle",78.07,"http://www.marsad.tn/uploads/images/Chokri_Kastalli.jpg","Né le 09 Janvier 1962 d’une famille andalouse exerçant le commerce et l’agriculture, il a fait ses études primaires à l’école Victor Hugo à Beja, puis au lycée mixte de Bejà, où il a obtenu son baccalauréat lettres en 1982, et il a intégré la faculté pour étudier le droit. Après sa première année, la fréquence des grèves l’a obligé à quitter la faculté et à rejoindre l’institut supérieur de tourisme et d’hôtellerie de Sidi Dhrif, où il a obtenu le diplôme de technicien supérieur en réception et administration, mais il n’a pas exercé en raison de besoins familiaux et est retourné à Beja pour aider sa famille dans le domaine de l’agriculture. Après s’être installé à Beja, il est devenu enseignant durant dix ans après lesquelles il est devenu maître d’application. Il a rejoint par la suite le mouvement syndical, et a rejoint le parti démocrate progressiste en 2008. Suite à la révolution, il a été secrétaire général du bureau régional du PDP à Beja, mais après le congrès du PDP qui a conduit à la scission du PDP et l’alliance démocratique, il a choisi d’être l’un des fondateurs de l’alliance démocratique.",9.183333,36.733333,"Tunisie"
"Béja","4f4fbcf3bd8cb5615700002a","Aymen Zouaghi","H",1983,"Aucun bloc","Pétition populaire pour la liberté, la justice et le développement","Courant de l'amour",NA,"Commission de tri des candidatures pour l'Instance Supérieure Indépendante pour les Élections;Commission d'enquête sur les incidents du 9 Avril;Commission de la législation générale;Commission des pouvoirs législatif, exécutif et des relations entre eux",34.07,"http://www.marsad.tn/uploads/images/Aymen_Zouaghi.jpg","Né le 18 Décembre 1983 à Teboursouk, Beja, il a fait ses études primaires et secondaires à Cité Mecenis de Teboursouk où il a obtenu son baccalauréat en 2002. Il a ensuite intégré la Faculté des Sciences Juridiques, Politiques et Sociales de Tunis 2 où il a décroché en premier lieu une maitrise en Droit en 2009 et un master en 2011. Il n’avait aucune activité politique avant la révolution de Janvier 2011.",9.183333,36.733333,"Tunisie"
"Ben Arous","4f4fbcf3bd8cb56157000053","Salma Hedia Mabrouk","F",1964,"Bloc Démocrates","Forum démocratique pour le travail et les libertés","Al Massar",NA,"Commission des consensus;Commission d'enquête sur les incidents du 9 Avril;Commission des droits et libertés;Commission des affaires sociales",64.78,"http://www.marsad.tn/uploads/images/Selma_Mabrouk.jpg","Née le 11 Octobre 1964 à Tunis, elle entame sa scolarité à l’école Sadiki puis ses études secondaires dans trois lycées à Tunis. Elle s’inscrit par la suite à la faculté de médecine de Tunis et effectue les études de spécialité en ophtalmologie en France. Revenue en Tunisie elle travaille d’abord dans l’hôpital public puis dans le privé. N’ayant pas connu de parcours politique avant le 14 Janvier, elle intègre en 2011 le parti Ettakatol. Pour la future constitution, elle souhaite défendre la liberté d’expression et d’association, l’indépendance de la justice, la dignité et le droit au travail. Mariée et mère de 2 enfants, elle maîtrise la langue arabe, française et anglaise.",10.2319757,36.7435003,"Tunisie"
"Ben Arous","4f4fbcf3bd8cb561570000b7","Mohamed Nizar Kacem","H",1953,"Aucun bloc","Parti républicain pour la liberté et la justice","Indépendant",NA,"Commission spécialisée du réglement intérieur et de l'immunité",72.75,"http://www.marsad.tn/uploads/images/Nizar_Kacem.jpg","Mohamed Nizar Kacem est né le 08 Avril 1953 à Sousse. Il a effectué ses études primaires à l'école de Megrine Supérieure et a ensuite poursuivi ses études secondaires à Radès, puis, au lycée Alaoui où il a obtenu son baccalauréat en 1971. Il a intégré par la suite l'université de droit à Alger où il a obtenu sa licence en droit en 1975. Il est parti en France pour poursuivre son troisième cycle et a étudié à la Faculté de Droit de Lille où il a obtenu son doctorat en 1977. A son retour en Tunisie, il a rejoint la profession d'avocat. Concernant ses activités politiques, Mohamed Nizar Kacem adhérait à l'Union Démocratique Unioniste jusqu'à 2010.",10.2319757,36.7435003,"Tunisie"
"Ben Arous","4f4fbcf3bd8cb56157000014","Sadok Chourou","F",1952,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha",NA,"Commission de l'énergie et des secteurs de production;Commission du préambule, des principes fondamentaux et de révision de la Constitution",57.85,"http://www.marsad.tn/uploads/images/Sadok_Chourou.jpg","Sadok Chourou, né en 1952, est un candidat du parti islamiste modéré Ennahdha, de la circonscription de Ben Arous et député à l'Assemblée Nationale Constituante. Chourou a obtenu un doctorat en chimie de la Faculté des Sciences de Tunis et a enseigné à la faculté de Médecine de Tunis jusqu'à ce qu'il a été arrêté en 1991 pour appartenance à Ennahdha, qui a été interdit pendant cette période. Il a été membre de la commission de la recherche scientifique dans le Cente Universitaire de Recherche Scientifique de Borj Cedria, au sud de Tunis, et un membre de l'Union générale des Travailleurs Tunisiens (UGTT). En tant qu'étudiant, Chourou est devenu connu pour son activisme politique et était présent lors de l'assemblée constitutive de l'Union générale des étudiants tunisiens. Il a rejoint le Conseil de la Shura d'Ennahdha dans les années 1980 et a été élu en 1988 président du mouvement Ennahdha, un poste qu'il a occupé jusqu'à son arrestation et l'emprisonnement en Février 1991. En prison, Chourou a été torturé dans la mesure où il a été emmené à l'hôpital en raison de sa situation critique. Il a également fait une grève de la faim pour protester contre ses conditions de détention. Chourou a été jugé par le tribunal militaire de Tunis en 1992 avec 265 membres d'Ennahdha et le procureur général a écarté la peine de mort. Cependant, sous la pression des organisations internationales des droits de l'homme, le régime de Ben Ali a émis la peine à perpétuité contre lui. Il a été emmené dans différentes prisons, où il a été contraint de dénoncer Ennahdha et de solliciter la grâce présidentielle. Chourou a passé 18 ans en prison, dont 13 en cellule d'isolement dans la prison de Mornaguia, au sud de Tunis. Il a été libéré en Octobre 2010. Moncef Marzouki l'a surnommé «le Mandela de la Tunisie. Le 23 Janvier 2012, Chourou a suscité la controverse lors d'une intervention dans une séance plénière de l'Assemblée Constituante quand il a cité des versets du Coran incitant à réprimer les manifestants et tous ceux bloquant les routes en Tunisie.",10.2319757,36.7435003,"Tunisie"
"Ben Arous","4f4fbcf3bd8cb561570000d4","Hela Hammi","F",1964,"Mouvement Nahdha","Mouvement Nahdha","Mouvement Nahdha","Assesseur chargée de la gestion et la surveillance budgétaire","",NA,"http://www.marsad.tn/uploads/images/Hela_Hammi.jpg","Née le 25 Novembre 1964 à Tunis, Hela Hammi a obtenu son baccalauréat – section lettres en 1984 et sa licence en droit privé en 1992. Elle est cadre de banque depuis 1993 à la Banque Nationale Agricole. Elle est actuellement directeur adjoint. Concernant ses activités politiques, elle est adhérente et dirigeante au sein du parti politique islamique Ennahdha depuis 1983. Sur le plan associatif, elle a adhéré auparavant à l’association « Droits des Affaires » et a constitué un groupe pour les différents aides sociaux depuis 2008. Elle maitrise l’arabe et le français.",10.2319757,36.7435003,"Tunisie"
"Ben Arous","4f4fbcf3bd8cb5615700003f","Khmais Ksila","H",1956,"Aucun bloc","Forum démocratique pour le travail et les libertés","Nidaa Tounes",NA,"Commission d'enquête sur les incidents du 9 Avril",44.92,"http://www.marsad.tn/uploads/images/FDTL_Khmeis_Ksila.jpg","Khemaïs Ksila, né le 1er mai 19561, est un homme politique tunisien. Il est emprisonné pour ses opinions politiques par les régimes des présidents Habib Bourguiba et Zine el-Abidine Ben Ali. Employé de la Société nationale des chemins de fer tunisiens durant quinze ans, il est licencié le 6 février 1996 puis se voit confisqué son passeport le 18 août 19962. Objet d'une surveillance policière, il est arrêté le 29 septembre 1997 et condamné le 22 février 1998 à trois ans de prison pour « diffamation contre l'ordre public et les autorités, diffusion de fausses nouvelles de nature à troubler l'ordre public et incitation des citoyens à transgresser les lois du pays ». Il est finalement libéré le 29 septembre 1999 et obtient la restitution de son passeport en mai 20002. En 2002, il s'exile en France et obtient le statut de réfugié politique. Il devient alors marchand de journaux. Rentré en Tunisie après la révolution de 2011, il représente son parti, Ettakatol, pour l'élection de l'assemblée constituante au sein de laquelle il est élu membre le 23 octobre 2011. Il démissionne de son parti le 8 février 2012, dénonçant l'alliance avec Ennahda et l'alignement de son parti, ainsi que l'absence de dialogue et de débat contradictoire avec les militants et adhérents ; il continue dès lors de siéger comme indépendant. Il entend, avec d'autres démissionnaires, fonder un nouveau mouvement politique avant de rejoindre finalement l'Appel de la Tunisie et d'entrer au sein de son comité élargi. Khemaïs Ksila est marié et père de trois enfants.",10.2319757,36.7435003,"Tunisie"
